,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
139,139,2022-05-31,705.0,711.0,677.349976,692.650024,691.103088,8925215
140,140,2022-06-01,692.650024,698.849976,685.049988,687.799988,686.263916,2016185
141,141,2022-06-02,687.0,692.099976,671.599976,673.099976,671.596741,2332416
142,142,2022-06-03,681.0,685.0,664.299988,665.400024,663.91394,2642554
143,143,2022-06-06,665.0,665.0,648.150024,657.900024,656.430725,1819887
144,144,2022-06-07,657.0,665.0,650.0,654.700012,653.237854,1587641
145,145,2022-06-08,654.700012,663.299988,645.0,647.599976,646.153687,1797454
146,146,2022-06-09,644.450012,651.900024,641.450012,649.5,648.049438,1149323
147,147,2022-06-10,642.0,649.799988,641.150024,644.650024,643.210327,982264
148,148,2022-06-13,635.0,635.0,621.700012,626.650024,625.250488,2000311
149,149,2022-06-14,624.0,635.0,619.5,623.200012,621.808228,1952853
150,150,2022-06-15,624.950012,632.450012,622.200012,623.349976,621.957825,971460
151,151,2022-06-16,633.599976,633.950012,597.200012,600.099976,598.759766,2867076
152,152,2022-06-17,599.0,601.049988,581.450012,594.349976,593.022583,3552167
153,153,2022-06-20,590.0,597.900024,568.450012,574.25,572.967529,2426937
154,154,2022-06-21,578.0,603.0,574.049988,599.849976,598.510315,3366401
155,155,2022-06-22,597.700012,597.700012,584.150024,589.799988,588.482788,1686383
156,156,2022-06-23,589.799988,595.799988,581.900024,589.5,588.183472,2026544
157,157,2022-06-24,592.049988,599.950012,590.599976,596.5,595.167847,1938626
158,158,2022-06-27,605.049988,615.0,602.5,613.0,611.630981,2296044
159,159,2022-06-28,610.549988,623.5,603.799988,620.049988,618.665222,2017990
160,160,2022-06-29,612.0,614.950012,597.0,601.150024,599.807434,2143251
161,161,2022-06-30,601.150024,603.900024,575.0,576.200012,574.913147,3232913
162,162,2022-07-01,576.200012,585.799988,575.700012,579.200012,577.906494,1928361
163,163,2022-07-04,581.5,586.5,572.0,575.400024,574.11499,1698911
164,164,2022-07-05,579.0,583.799988,570.0,570.849976,569.575073,1576894
165,165,2022-07-06,570.849976,579.150024,557.0,577.299988,576.010681,2751283
166,166,2022-07-07,584.299988,588.0,578.099976,582.650024,581.348755,2197534
167,167,2022-07-08,586.0,591.0,583.400024,589.0,587.68457,1642440
168,168,2022-07-11,587.599976,594.650024,583.75,592.900024,591.575867,1443087
169,169,2022-07-12,589.0,601.200012,582.349976,590.25,588.931763,1990023
170,170,2022-07-13,593.0,605.599976,591.299988,592.799988,591.476074,2991446
171,171,2022-07-14,594.950012,597.849976,581.0,585.700012,584.391968,1831386
172,172,2022-07-15,589.0,594.400024,586.099976,591.25,589.929565,1140354
173,173,2022-07-18,595.799988,605.0,595.25,604.0,602.651062,2221750
174,174,2022-07-19,600.0,611.5,599.0,607.75,606.3927,2129099
175,175,2022-07-20,615.950012,617.400024,606.450012,608.150024,606.791809,1599889
176,176,2022-07-21,608.0,612.900024,603.150024,607.849976,606.492432,1622641
177,177,2022-07-22,610.650024,616.799988,607.049988,609.75,608.388245,1465991
178,178,2022-07-25,609.299988,610.799988,596.049988,599.299988,597.961548,1288536
179,179,2022-07-26,597.599976,598.900024,591.0,596.049988,594.718811,1549042
180,180,2022-07-27,593.0,602.25,588.799988,600.950012,599.60791,1176622
181,181,2022-07-28,604.099976,606.849976,598.099976,602.5,601.154419,1600700
182,182,2022-07-29,606.0,640.0,605.200012,637.099976,635.677124,6964646
183,183,2022-08-01,646.349976,647.900024,632.75,641.900024,640.466431,3068787
184,184,2022-08-02,639.5,654.900024,632.0,647.950012,646.50293,3211110
185,185,2022-08-03,645.349976,648.650024,635.0,642.150024,640.715881,1638012
186,186,2022-08-04,645.0,649.400024,631.049988,639.0,637.572876,1794443
187,187,2022-08-05,640.650024,647.200012,637.799988,642.349976,640.915405,1225071
188,188,2022-08-08,643.0,661.0,642.400024,658.5,657.029358,3886443
189,189,2022-08-10,663.25,677.5,654.200012,673.150024,671.646667,5461816
190,190,2022-08-11,688.0,691.349976,652.299988,670.099976,668.603394,8853819
191,191,2022-08-12,670.200012,684.950012,663.700012,666.450012,664.961609,4080911
192,192,2022-08-16,669.799988,676.0,666.0,668.150024,666.657837,1596822
193,193,2022-08-17,668.950012,676.0,668.150024,671.650024,670.150024,1526304
194,194,2022-08-18,674.0,723.0,673.0,714.150024,714.150024,10273793
195,195,2022-08-19,706.900024,752.75,697.150024,735.150024,735.150024,25609355
196,196,2022-08-22,719.0,726.5,703.200012,712.5,712.5,9845889
197,197,2022-08-23,703.0,719.0,698.299988,714.950012,714.950012,4889154
198,198,2022-08-24,714.950012,729.0,708.150024,724.299988,724.299988,4455258
199,199,2022-08-25,729.900024,733.75,715.0,717.0,717.0,3528550
200,200,2022-08-26,720.0,727.75,716.099976,718.650024,718.650024,1996839
201,201,2022-08-29,666.0,697.0,666.0,691.799988,691.799988,5290429
202,202,2022-08-30,699.950012,713.849976,696.200012,710.75,710.75,3375748
203,203,2022-09-01,707.0,716.849976,703.200012,707.049988,707.049988,2309164
204,204,2022-09-02,713.900024,726.200012,710.150024,712.650024,712.650024,3497693
205,205,2022-09-05,716.25,721.450012,710.0,710.900024,710.900024,1573079
206,206,2022-09-06,714.900024,717.650024,705.200012,708.299988,708.299988,1471443
207,207,2022-09-07,707.0,711.5,701.599976,706.450012,706.450012,1244503
208,208,2022-09-08,713.200012,724.0,709.150024,714.799988,714.799988,2501592
209,209,2022-09-09,718.5,721.450012,710.0,711.799988,711.799988,1383138
210,210,2022-09-12,715.0,725.0,713.5,721.299988,721.299988,2318918
211,211,2022-09-13,724.950012,727.700012,718.0,719.950012,719.950012,1479262
212,212,2022-09-14,712.0,718.650024,708.049988,712.849976,712.849976,1269173
213,213,2022-09-15,716.450012,738.0,715.099976,724.349976,724.349976,5718669
214,214,2022-09-16,724.400024,730.349976,692.0,703.0,703.0,3745099
215,215,2022-09-19,704.900024,709.400024,689.799988,692.0,692.0,2263251
216,216,2022-09-20,699.900024,715.0,698.400024,706.150024,706.150024,2330872
217,217,2022-09-21,707.950012,712.950012,695.799988,700.349976,700.349976,1419089
218,218,2022-09-22,700.0,705.0,693.099976,700.900024,700.900024,1654457
219,219,2022-09-23,703.5,706.849976,684.0,685.799988,685.799988,1804335
220,220,2022-09-26,680.0,681.400024,661.0,664.5,664.5,3249490
221,221,2022-09-27,668.0,681.700012,664.049988,676.650024,676.650024,2808630
222,222,2022-09-28,671.900024,682.900024,666.700012,680.099976,680.099976,2044821
223,223,2022-09-29,689.049988,712.0,684.5,707.0,707.0,5846347
224,224,2022-09-30,705.0,712.0,695.200012,706.0,706.0,3220279
225,225,2022-10-03,705.950012,709.450012,700.099976,706.150024,706.150024,1735784
226,226,2022-10-04,714.0,720.0,708.700012,719.25,719.25,2443139
227,227,2022-10-06,725.799988,734.700012,720.049988,731.25,731.25,4123619
228,228,2022-10-07,733.0,737.599976,724.049988,735.25,735.25,3152365
229,229,2022-10-10,725.5,735.450012,722.849976,731.200012,731.200012,1952447
230,230,2022-10-11,735.0,746.599976,721.099976,725.599976,725.599976,3747651
231,231,2022-10-12,730.0,734.700012,706.549988,722.299988,722.299988,2818945
232,232,2022-10-13,722.0,727.900024,711.599976,724.099976,724.099976,1887973
233,233,2022-10-14,732.0,733.950012,719.400024,722.849976,722.849976,1612489
234,234,2022-10-17,719.200012,729.799988,712.349976,728.0,728.0,1387810
235,235,2022-10-18,731.650024,734.700012,725.0,731.150024,731.150024,1675213
236,236,2022-10-19,733.0,755.450012,730.200012,742.799988,742.799988,6094000
237,237,2022-10-20,738.950012,745.0,725.599976,742.650024,742.650024,2237769
238,238,2022-10-21,743.0,756.0,735.299988,743.549988,743.549988,2936578
239,239,2022-10-24,749.0,750.450012,740.049988,743.799988,743.799988,649393
240,240,2022-10-25,742.25,747.0,735.599976,740.400024,740.400024,1544325
241,241,2022-10-27,746.0,746.900024,736.799988,741.25,741.25,1783787
242,242,2022-10-28,741.299988,744.799988,735.25,739.400024,739.400024,1484665
243,243,2022-10-31,744.0,752.849976,738.0,741.200012,741.200012,1993381
244,244,2022-11-01,745.0,747.650024,739.349976,742.25,742.25,1359226
245,245,2022-11-02,742.0,761.299988,738.25,755.450012,755.450012,3424051
246,246,2022-11-03,751.950012,760.0,746.0,751.400024,751.400024,2828562
