,Date,Open,High,Low,Close,Adj Close,Volume
404,2021-05-31,381.970001,383.799988,379.429993,380.640015,378.358307,2485790
405,2021-06-01,382.359985,384.529999,377.600006,378.920013,376.648621,2098710
406,2021-06-02,379.98999,385.5,379.049988,383.589996,381.290619,2883775
407,2021-06-03,385.600006,389.720001,383.200012,384.359985,382.056,2749735
408,2021-06-04,387.399994,387.399994,382.709991,384.339996,382.036102,1798105
409,2021-06-07,387.799988,422.769989,385.339996,418.959991,416.448578,30720335
410,2021-06-08,426.190002,436.799988,424.399994,428.970001,426.398621,32451425
411,2021-06-09,432.0,432.600006,412.0,414.23999,411.756897,11678705
412,2021-06-10,418.700012,424.200012,410.329987,421.269989,418.74472,8977510
413,2021-06-11,423.0,426.399994,416.200012,418.75,416.239838,4220295
414,2021-06-14,417.98999,418.399994,405.0,412.880005,410.40506,5011980
415,2021-06-15,414.200012,427.970001,412.399994,419.589996,417.074799,9562490
416,2021-06-16,421.890015,424.390015,415.059998,417.98999,415.484406,4284715
417,2021-06-17,414.0,417.790009,407.279999,410.079987,407.621826,3771420
418,2021-06-18,414.049988,414.049988,395.730011,402.339996,399.928223,6521685
419,2021-06-21,400.0,418.75,396.230011,415.369995,412.880127,8466300
420,2021-06-22,420.0,425.670013,415.0,416.600006,414.102722,6428745
421,2021-06-23,420.399994,422.279999,414.399994,415.649994,413.158417,4048120
422,2021-06-24,419.600006,419.600006,413.200012,414.589996,412.104767,2707570
423,2021-06-25,416.869995,417.700012,410.619995,413.769989,411.289703,2379110
424,2021-06-28,416.799988,422.48999,413.679993,415.549988,413.059021,3538660
425,2021-06-29,418.399994,425.380005,413.01001,416.369995,413.874115,8367385
426,2021-06-30,412.109985,420.75,404.290009,406.769989,404.331665,12814570
427,2021-07-01,409.559998,411.769989,406.059998,406.959991,404.520508,3754990
428,2021-07-02,409.600006,413.790009,407.399994,412.109985,409.639648,2610295
429,2021-07-05,416.799988,439.0,413.630005,434.720001,432.114105,15752915
430,2021-07-06,440.0,444.399994,432.0,433.779999,431.179749,19202485
431,2021-07-07,433.779999,439.799988,432.070007,437.690002,435.066345,5026855
432,2021-07-08,439.0,449.600006,437.0,438.779999,436.14975,13226030
433,2021-07-09,438.779999,444.799988,433.690002,441.850006,439.201416,7415555
434,2021-07-12,445.790009,454.380005,443.450012,452.579987,449.867065,10442855
435,2021-07-13,454.600006,456.790009,451.230011,454.890015,452.163239,8587235
436,2021-07-14,456.380005,456.380005,449.109985,453.279999,450.562866,3411760
437,2021-07-15,453.279999,459.420013,450.200012,453.660004,450.940613,4459290
438,2021-07-16,454.799988,491.480011,453.75,485.329987,482.420746,34640095
439,2021-07-19,480.980011,491.200012,477.089996,484.899994,481.993317,11797880
440,2021-07-20,487.200012,495.98999,474.0,476.130005,473.275879,12440815
441,2021-07-22,480.799988,483.410004,468.399994,473.029999,470.194458,6746515
442,2021-07-23,473.980011,476.48999,463.200012,465.070007,462.282227,5243460
443,2021-07-26,466.899994,473.0,460.410004,462.660004,459.886627,6531495
444,2021-07-27,465.589996,469.399994,456.200012,459.109985,456.35791,4632295
445,2021-07-28,461.0,463.0,452.570007,456.730011,453.992188,3579030
446,2021-07-29,457.559998,468.700012,457.200012,464.220001,461.437286,4462290
447,2021-07-30,464.799988,472.399994,460.0,466.26001,463.465057,4357415
448,2021-08-02,493.799988,502.600006,484.470001,493.779999,490.820099,36666555
449,2021-08-03,496.25,499.5,489.0,493.570007,490.611359,8598145
450,2021-08-04,496.0,507.0,493.130005,498.230011,495.243408,11512810
451,2021-08-05,500.200012,504.399994,493.059998,494.579987,491.615295,7075850
452,2021-08-06,497.0,500.920013,494.779999,497.519989,494.537689,3553315
453,2021-08-09,500.079987,536.0,499.470001,529.640015,526.465149,27172245
454,2021-08-10,533.0,545.0,524.0,527.919983,524.755432,22718380
455,2021-08-11,531.390015,534.369995,505.600006,514.450012,511.366211,14865920
456,2021-08-12,518.789978,545.77002,514.450012,537.960022,534.735291,30341990
457,2021-08-13,542.859985,542.859985,527.599976,532.140015,528.950195,11688585
458,2021-08-16,534.76001,534.76001,522.400024,525.919983,522.767395,4956310
459,2021-08-17,526.0,539.0,523.0,533.919983,530.719482,8253620
460,2021-08-18,536.549988,550.0,534.650024,543.809998,540.550232,13629770
461,2021-08-20,540.0,542.599976,522.200012,529.26001,526.087463,8280035
462,2021-08-23,533.0,536.98999,507.109985,510.820007,507.757935,8559910
463,2021-08-24,514.0,522.309998,508.0,512.960022,509.885162,6996380
464,2021-08-25,515.380005,530.700012,514.150024,527.299988,524.13916,12582655
465,2021-08-26,529.590027,532.780029,523.0,524.340027,521.196899,7009955
466,2021-08-27,525.0,531.359985,521.0,529.73999,526.564514,4466105
467,2021-08-30,533.599976,542.599976,531.799988,539.549988,536.315735,6642175
468,2021-08-31,542.200012,551.900024,540.200012,550.400024,547.100708,10251115
469,2021-09-01,551.0,553.080017,543.599976,549.25,545.957581,4574825
470,2021-09-02,549.200012,571.599976,548.599976,565.98999,562.597229,12314090
471,2021-09-03,568.799988,579.460022,565.299988,573.97998,570.539368,8757735
472,2021-09-06,577.119995,608.0,575.830017,601.679993,598.073303,25302570
473,2021-09-07,610.0,661.0,609.070007,657.380005,653.439453,57776555
474,2021-09-08,666.0,684.530029,653.109985,659.280029,655.328064,44363970
475,2021-09-09,650.0,671.599976,636.450012,659.0,655.049744,28326075
476,2021-09-13,663.0,690.140015,662.0,687.150024,683.030945,23892315
477,2021-09-14,697.400024,751.76001,695.200012,747.690002,743.20813,59109125
478,2021-09-15,758.799988,787.97998,730.450012,736.450012,732.035461,42781400
479,2021-09-16,748.960022,759.75,736.450012,753.940002,749.420654,18011055
480,2021-09-17,764.0,803.940002,758.140015,772.679993,768.04834,61620795
481,2021-09-20,769.76001,769.76001,736.039978,741.580017,737.134705,23477555
482,2021-09-21,745.72998,769.960022,710.0,724.909973,721.537537,26517155
483,2021-09-22,734.799988,750.0,728.099976,734.26001,730.844116,14540470
484,2021-09-23,748.799988,751.799988,736.0,738.809998,735.372925,7153935
485,2021-09-24,744.0,747.200012,728.0,737.849976,734.417419,7698190
486,2021-09-27,747.02002,773.0,740.200012,766.97998,763.411926,18612320
487,2021-09-28,779.0,795.0,756.400024,773.119995,769.523315,32886570
488,2021-09-29,771.780029,771.780029,751.109985,754.030029,750.522156,12895755
489,2021-09-30,764.0,776.0,755.440002,759.700012,756.165771,14624460
490,2021-10-01,755.400024,764.200012,746.630005,758.719971,755.190308,7999080
491,2021-10-04,762.52002,812.969971,761.679993,801.780029,798.049988,26394340
492,2021-10-05,817.0,841.679993,801.0,833.219971,829.34375,36846475
493,2021-10-06,839.799988,902.0,836.0,892.669983,888.517151,58581180
494,2021-10-07,919.599976,953.789978,905.01001,938.179993,933.81543,43227600
495,2021-10-08,964.799988,992.840027,944.219971,975.309998,970.772705,61367310
496,2021-10-11,980.97998,985.700012,950.0,954.51001,950.069458,30074685
497,2021-10-12,953.0,975.400024,945.0,963.450012,958.967896,16397000
498,2021-10-13,970.200012,992.0,966.25,985.76001,981.174133,16210660
499,2021-10-14,1000.799988,1118.800049,998.0,1092.709961,1087.626465,71177100
500,2021-10-18,1118.800049,1193.400024,1115.01001,1175.540039,1170.071289,39694580
501,2021-10-19,1235.0,1279.26001,999.210022,1090.969971,1085.894653,74305750
502,2021-10-20,981.880005,999.960022,875.460022,886.869995,882.744141,98333925
503,2021-10-21,888.140015,950.0,882.820007,914.650024,910.394897,46361195
504,2021-10-22,925.599976,936.0,890.01001,924.51001,920.209045,28022520
505,2021-10-25,937.0,937.0,792.219971,804.469971,800.727417,38866505
506,2021-10-26,813.599976,880.0,810.200012,837.900024,834.002014,41011205
507,2021-10-27,850.099976,866.960022,806.75,826.030029,822.187195,26793965
508,2021-10-28,817.0,983.0,810.0,913.5,909.250244,59298778
509,2021-10-29,822.150024,906.450012,639.450012,845.700012,841.765686,82848030
510,2021-11-01,874.200012,885.0,809.25,855.450012,851.470337,29989312
511,2021-11-02,868.400024,868.799988,844.25,848.200012,844.254089,9742650
512,2021-11-03,840.0,848.900024,815.099976,819.849976,816.03595,10088006
513,2021-11-04,828.25,828.25,820.0,822.25,818.424744,2229843
514,2021-11-08,819.0,840.0,779.849976,832.849976,828.975403,11974709
515,2021-11-09,835.0,858.0,834.0,856.0,852.017761,9656004
516,2021-11-10,856.0,866.0,847.0,849.849976,845.896362,6275409
517,2021-11-11,849.0,856.0,835.0,847.299988,843.358215,4924717
518,2021-11-12,853.0,876.0,847.0,864.849976,860.826538,9255302
519,2021-11-15,877.950012,923.0,869.0,903.400024,899.197266,21402501
520,2021-11-16,915.799988,929.0,911.349976,921.049988,916.765137,9298944
521,2021-11-17,925.0,928.700012,900.099976,903.599976,899.396301,7189458
522,2021-11-18,903.5,905.900024,871.099976,890.650024,886.506531,7714073
523,2021-11-22,912.0,919.700012,872.349976,886.75,882.624695,11376478
524,2021-11-23,877.0,897.599976,872.599976,892.799988,888.646545,6078636
525,2021-11-24,898.0,901.700012,853.099976,862.799988,858.786133,7679846
526,2021-11-25,863.0,874.5,835.650024,865.549988,861.523315,9169669
527,2021-11-26,849.0,854.950012,820.0,823.049988,819.221008,10211011
528,2021-11-29,786.0,801.0,750.549988,775.799988,772.190857,13888743
529,2021-11-30,790.299988,819.900024,787.599976,795.150024,791.450867,37176726
530,2021-12-01,809.0,817.0,796.349976,811.950012,808.172668,6448797
531,2021-12-02,815.25,825.0,803.0,821.25,817.429443,4869021
532,2021-12-03,819.0,831.450012,810.0,819.900024,816.085754,4777395
533,2021-12-06,815.0,819.5,798.200012,801.400024,797.671753,4473930
534,2021-12-07,809.950012,829.799988,807.0,823.049988,819.221008,4528051
535,2021-12-08,830.5,856.700012,829.049988,851.400024,847.439148,7190775
536,2021-12-09,856.0,863.0,841.549988,856.849976,852.86377,5118754
537,2021-12-10,851.0,869.950012,850.0,857.950012,853.958679,4358630
538,2021-12-13,862.5,878.200012,856.25,858.700012,854.705261,4485978
539,2021-12-14,860.0,860.0,843.0,855.049988,851.072144,3374432
540,2021-12-15,851.200012,867.400024,848.0,851.200012,847.240051,2762485
541,2021-12-16,857.049988,860.799988,841.349976,852.150024,848.18573,2918474
542,2021-12-17,850.0,851.900024,825.450012,832.400024,828.527588,4227183
543,2021-12-20,807.0,825.700012,780.700012,794.099976,790.405701,7418777
544,2021-12-21,805.0,818.849976,800.0,814.75,810.959656,3613582
545,2021-12-22,820.0,842.599976,819.0,839.75,835.843323,3721795
546,2021-12-23,846.700012,847.349976,834.200012,841.349976,837.435913,2917612
547,2021-12-24,841.0,842.799988,828.5,837.200012,833.305176,2502607
548,2021-12-27,823.0,840.0,823.0,839.0,835.096863,2640676
549,2021-12-28,840.700012,876.599976,840.549988,863.5,859.482849,8220616
550,2021-12-29,859.450012,864.0,847.0,849.349976,845.398682,3670117
551,2021-12-30,846.700012,847.799988,831.099976,833.0,829.124756,3488161
552,2021-12-31,834.900024,840.0,829.150024,831.75,827.880554,2712460
553,2022-01-03,831.900024,850.0,830.349976,845.650024,841.715942,3501695
554,2022-01-04,850.0,853.700012,843.299988,848.049988,844.104736,2496924
555,2022-01-05,845.0,847.099976,828.0,840.599976,836.689331,3312721
556,2022-01-06,825.0,847.900024,825.0,843.25,839.327087,2842824
557,2022-01-07,843.25,888.0,842.450012,860.950012,856.944763,12254034
558,2022-01-10,862.5,878.75,862.5,873.450012,869.386597,4778546
559,2022-01-11,875.0,883.0,859.150024,862.400024,858.388062,3257687
560,2022-01-12,868.799988,869.400024,848.25,861.25,857.243347,3419540
